time (s)	magX	magY	magZ
11219.050974	-12.953829	-273.139679	-124.556404
11219.054304	-13.012274	-276.821747	-128.939804
11219.057640	-13.655172	-280.386932	-134.609009
11219.060977	-14.356516	-284.945648	-140.219757
11219.064305	-14.005844	-288.160156	-145.713623
11219.067653	-14.239626	-291.842194	-151.499710
11219.070971	-14.824080	-296.284058	-156.584442
11219.074307	-15.057861	-300.784332	-162.838104
11219.078988	-16.051432	-308.615997	-174.994751
11219.081934	-16.460550	-313.291626	-181.949738
11219.085275	-16.402103	-317.382843	-188.846283
11219.088491	-16.928112	-321.473999	-196.327286
11219.091832	-17.454121	-325.331390	-203.399185
11219.095155	-17.746347	-329.656342	-211.464645
11219.098058	-18.739918	-333.747528	-219.413208
11219.101400	-18.330801	-338.014038	-227.829346
11219.104784	-18.623028	-341.754517	-236.479263
11219.108084	-19.032145	-346.254822	-245.713623
11219.110975	-19.733490	-351.514893	-254.480423
11219.114301	-20.259497	-356.248993	-264.708344
11219.117646	-20.551723	-359.638794	-273.942749
11219.120968	-20.902395	-364.372894	-283.878448
11219.124301	-21.603741	-368.873199	-293.989502
11219.127637	-21.720631	-373.315033	-305.327881
11219.130967	-22.714201	-376.061951	-316.081848
11219.134305	-23.473991	-380.737579	-328.063110
11219.137633	-23.649326	-385.120972	-339.635315
11219.140968	-24.350672	-387.984833	-352.259460
11219.144299	-25.052015	-392.134430	-365.409729
11219.147670	-25.402689	-394.998260	-377.741638
11219.150961	-26.513149	-398.738739	-391.943909
11219.154297	-27.039158	-401.076569	-405.503235
11219.157626	-27.565166	-405.050873	-419.997681
11219.160966	-28.383402	-407.563995	-434.609009
11219.164296	-29.026300	-410.194031	-449.454102
11219.167631	-29.961426	-412.882538	-464.883667
11219.170963	-30.838106	-413.934540	-481.014587
11219.174295	-31.247223	-416.973694	-496.035095
11219.177626	-32.357685	-417.558167	-512.458191
11219.180994	-33.059029	-419.136169	-528.705994
11219.185589	-35.279957	-420.071289	-563.247253
11219.188490	-35.630627	-420.714203	-580.313232
11219.191820	-36.565750	-420.071289	-597.671509
11219.195166	-37.442432	-419.720612	-614.912903
11219.198498	-38.377556	-417.324371	-632.797180
11219.201415	-39.371128	-415.746368	-651.207458
11219.204744	-40.598480	-413.408539	-669.676208
11219.208127	-41.241379	-409.960236	-686.683777
11219.211389	-42.059612	-407.096466	-704.684998
11219.214295	-42.234947	-404.466400	-722.978333
11219.217629	-43.637638	-398.621857	-741.037964
11219.220956	-44.689655	-393.887787	-758.337769
11219.224291	-45.683228	-387.867920	-774.994690
11219.227627	-46.384571	-382.257172	-791.826965
11219.230954	-47.436588	-375.009949	-808.951477
11219.234303	-48.079487	-368.054932	-825.082397
11219.237627	-49.073055	-359.288147	-842.206848
11219.240959	-49.891293	-350.872009	-857.227356
11219.244286	-50.767971	-341.286957	-872.013977
11219.247620	-51.761543	-331.059052	-887.326660
11219.250957	-52.112213	-320.071320	-902.288696
11219.254284	-52.930447	-308.732910	-914.153137
11219.257617	-53.982468	-296.693176	-928.822876
11219.260955	-54.333138	-283.952087	-939.576843
11219.264297	-55.268265	-269.925171	-951.499695
11219.267619	-56.144943	-257.125671	-961.902954
11219.270952	-56.670952	-241.754532	-970.903564
11219.274282	-57.956749	-227.143188	-980.137878
11219.277630	-58.248978	-212.064285	-986.917542
11219.280953	-58.658092	-195.582703	-993.755676
11219.284287	-59.710110	-179.159561	-998.957275
11219.288478	-60.645237	-143.741669	-1007.548767
11219.291820	-61.229691	-126.032738	-1011.932251
11219.295200	-61.755699	-107.271767	-1012.165955
11219.298573	-61.755699	-89.036819	-1012.633545
11219.301401	-61.814140	-70.217407	-1012.399719
11219.304731	-63.041496	-51.281120	-1010.938599
11219.308079	-62.690826	-32.403275	-1008.308533
11219.311367	-62.340153	-13.583868	-1005.035645
11219.314283	-62.983047	6.521333	-999.541809
11219.317620	-63.275280	25.165400	-993.112793
11219.320952	-62.632378	44.393921	-988.028015
11219.324283	-62.573933	63.505554	-980.371704
11219.327618	-63.099937	81.506729	-972.715332
11219.330950	-63.158386	100.033897	-962.779663
11219.334274	-62.983047	118.385750	-953.603699
11219.337633	-62.281704	136.912918	-942.732849
11219.340948	-62.047924	154.271179	-931.920471
11219.344278	-61.580360	171.395660	-920.114563
11219.347610	-61.463470	187.760376	-907.431946
11219.350944	-60.703682	204.300415	-895.158325
11219.354274	-60.820576	219.437744	-881.365234
11219.357610	-60.002338	234.516647	-867.163025
11219.360941	-59.300995	249.011093	-852.434814
11219.364322	-59.242546	261.284607	-837.414368
11219.367611	-58.424313	275.019257	-822.919922
11219.370951	-57.839859	287.643494	-807.256592
11219.374310	-57.138515	298.981903	-791.067200
11219.377610	-56.670952	311.547607	-775.053162
11219.380966	-56.904736	322.360016	-759.448242
11219.384277	-55.502045	332.295746	-742.499146
11219.387612	-55.268265	341.237854	-726.309753
11219.392236	-53.222675	357.193451	-693.054321
11219.395150	-52.170658	365.960236	-677.332520
11219.398552	-51.644650	372.506134	-661.260071
11219.401861	-51.469315	379.168884	-643.551147
11219.404773	-50.300407	382.909393	-628.705994
11219.408030	-49.423729	388.286377	-611.815308
11219.411393	-49.073055	392.202209	-596.677917
11219.414703	-48.780830	396.527191	-580.371704
11219.417645	-48.430157	399.858551	-564.708374
11219.420939	-47.495033	401.670380	-550.038574
11219.424275	-45.858562	404.592651	-533.615417
11219.427606	-45.215664	405.235504	-518.945679
11219.430934	-44.338985	406.696686	-504.451172
11219.434264	-43.871418	406.813568	-490.365845
11219.437595	-43.345409	407.573334	-475.345398
11219.440941	-42.760956	407.398010	-460.909363
11219.444270	-42.001167	407.807129	-447.408508
11219.447604	-40.949150	406.229095	-433.440063
11219.450931	-40.598480	405.703094	-421.166565
11219.454269	-39.897137	404.592651	-407.665710
