time (s)	det(V)
5395.763761	-0.006943	
5395.765384	-0.008764	
5395.767027	-0.010846	
5395.768620	-0.008413	
5395.770275	-0.009038	
5395.771873	-0.010351	
5395.773545	-0.010202	
5395.775135	-0.003209	
5395.776785	-0.009295	
5395.778338	-0.006721	
5395.780054	-0.005473	
5395.781595	-0.005360	
5395.783293	-0.010866	
5395.784794	-0.006838	
5395.786538	-0.008099	
5395.788020	-0.007599	
5395.789776	-0.009948	
5395.791274	-0.000985	
5395.793061	-0.006596	
5395.794540	-0.005839	
5395.796311	-0.004993	
5395.797792	-0.001239	
5395.799547	-0.012740	
5395.801041	-0.006673	
5395.802784	-0.005956	
5395.804300	-0.005924	
5395.806036	-0.010842	
5395.807568	0.002218	
5395.809288	-0.004357	
5395.810826	-0.004566	
5395.812519	-0.003636	
5395.814063	-0.002250	
5395.815754	-0.007491	
5395.817320	-0.006125	
5395.818989	-0.005682	
5395.820569	-0.006419	
5395.822216	-0.005336	
5395.823820	-0.003837	
5395.825462	-0.002205	
5395.827053	-0.004224	
5395.828664	-0.001682	
5395.830310	-0.002439	
5395.831894	-0.003301	
5395.833567	-0.006520	
5395.835137	-0.002274	
5395.836826	-0.004087	
5395.838399	-0.004606	
5395.840077	-0.004752	
5395.841553	0.001013	
5395.843174	-0.003563	
5395.844668	-0.002419	
5395.846292	-0.001706	
5395.847793	0.001968	
5395.849371	-0.010266	
5395.850892	-0.004131	
5395.852442	-0.002343	
5395.854017	-0.003551	
5395.855622	-0.004639	
5395.857221	0.001279	
5395.858788	-0.000481	
5395.860400	-0.003019	
5395.861924	0.000590	
5395.863603	-0.001513	
5395.865074	0.000155	
5395.866795	-0.005714	
5395.868342	-0.002197	
5395.870019	-0.004147	
5395.871562	-0.003072	
5395.873262	-0.003571	
5395.874786	0.003003	
5395.876493	-0.002081	
5395.877983	-0.000900	
5395.879773	0.000062	
5395.881254	0.002765	
5395.883043	-0.007450	
5395.884517	-0.002306	
5395.886269	-0.001593	
5395.887756	-0.002222	
5395.889510	-0.006657	
5395.891009	0.006197	
5395.892752	-0.000115	
5395.894271	-0.001424	
5395.895995	0.001742	
5395.897517	0.002447	
5395.899209	-0.004417	
5395.900758	-0.001283	
5395.902438	-0.000248	
5395.904002	-0.001823	
5395.905677	-0.002065	
